Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1976,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,DE,IN,,142,,ivory carvings,,T,
1977,I,Elephas maximus,Mammalia,Proboscidea,Elephantidae,Elephas,CA,US,,1,,ivory carvings,,P,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,GB,XX,60,,ivory carvings,sets,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,HK,XX,22,,ivory carvings,kg,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,IN,XX,144,,ivory carvings,kg,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,TH,XX,100,,ivory carvings,g,,
1977,II,Elephantidae spp.,Mammalia,Proboscidea,Elephantidae,,DK,ZM,,8,,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BE,DE,KE,,2250,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BE,IN,XX,,42,ivory carvings,,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,IN,XX,,2360,ivory carvings,,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,CI,,111,,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,CN,,448,,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,CD,,13,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,KE,,80,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,XX,,31,ivory carvings,,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,,164,,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,FR,HK,,40,ivory carvings,,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,FR,,70,,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,GB,,17,,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,HK,,1164,,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,IN,XX,,2042,ivory carvings,,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,IN,,111,,ivory carvings,kg,,
1977,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,IT,,15,,ivory carvings,kg,,
