name,Born,Died,Group,Ideology,Location
Alex Jones,1974,,,Antigovernment Movement,"Austin, Texas"
Alex Linder,1966,,,Neo-Nazi,"Kirksville, Mo."
"Andrew ""weev"" Auernheimer",1985,,,Alt-Right Neo-Nazi,
Andrew Anglin,1984,,,Alt-Right Neo-Nazi,
April Gaede,1966,,National Vanguard,Neo-Nazi,"Kalispell, MT"
Arthur Jensen,1923,2012,,White Nationalist,
August Kreis,1954,,Aryan Nations,Christian Identity Neo-Nazi,"Union City, Tenn."
Augustus Sol Invictus,1983,,,Alt-Right,"Orlando, Florida"
Barbara Coe,1933,2013,Council of Conservative Citizens National Coalition for Issue Reform,Anti-Immigrant White Nationalist,"Huntington Beach, CA"
Barry Black,1948,,,Ku Klux Klan,"Johnstown, PA"
Bill White,1977,,,Neo-Nazi,"Roanoke, Va."
Billy Roper,1972,,National Alliance White Revolution,Neo-Nazi,"Russellville, AR"
Bo Gritz,1939,,,Christian Identity,"Sand Valley, NV"
Boyd Cathey,1950,,Institute for Historical Review,Neo-Confederate,"Wendell, NC"
Bradley Dean Griffin,1980,,Council of Conservative Citizens League of the South,White Nationalist,"Barbour County, Alabama"
Brien James,1975,,Vinlanders Social Club,Racist Skinhead,"Indianapolis, Ind."
Bryan Fischer,1951,,American Family Association,Anti-LGBT,"Tupelo, Miss."
Charles Murray,1943,,,White Nationalist,
Christopher Cantwell,1980,,,Alt-Right,"Keene, New Hampshire"
Chuck Baldwin,1953,,,Antigovernment Movement,"Kalispell, Mont."
Cliff Kincaid,1954,,,Antigovernment Movement,"Owings, Md."
Cody Rutledge Wilson,1988,,,Antigovernment Movement,"Austin, Texas"
Craig Cobb,1951,,,Neo-Nazi,"Sherwood, N.D."
Dan Stein,1955,,Federation for American Immigration Reform,Anti-Immigrant,"Washington, DC"
"Daryush ""Roosh"" Valizadeh",1979,,,Male Supremacy,"Washington, D.C."
David Barton,1954,,,Anti-LGBT,"Aledo, Texas"
David Duke,1950,,EURO,White Nationalist,
David Horowitz,1939,,,Anti-Immigrant Anti-Muslim,"Los Angeles, California"
David Irving,1938,,,Holocaust Denial,"London, England, and Key West, FL"
David Lane,1938,2007,,White Nationalist,
David Lane,1955,,,Anti-LGBT,"Westlake, Calif."
David Yerushalmi,1957,,,Anti-Muslim,"Brooklyn, N.Y."
Don Black,1953,,Stormfront,White Nationalist,"West Palm Beach, FL"
Edgar Steele,1945,2014,,White Nationalist,
Elmer Stewart Rhodes,1966,,Oath Keepers,Antigovernment Movement,"Big Arm, Mont."
"Eric ""The Butcher"" Fairburn",1974,,Vinlanders Social Club,Racist Skinhead,"South Central Correctional Center, Licking, Mo."
Erich Gliebe,1963,,National Alliance,Neo-Nazi,"North Royalton, OH"
Ernst Zundel,1939,2017,,Holocaust Denial,"Bad Wildbad, Germany"
Frank Gaffney Jr.,1953,,Center for Security Policy,Anti-Muslim,"Leesburg, VA."
Frazier Glenn Miller,1940,,,Ku Klux Klan,"Springfield, Mo."
Fred Phelps,1929,2014,Westboro Baptist Church,Anti-LGBT,"Topeka, KS"
Garrett Hardin,1915,2003,Federation for American Immigration Reform The Social Contract Press,White Nationalist,
"Gary ""Gerhard"" Lauck",1953,,,Neo-Nazi,"Lincoln, NE"
Gary Demar,1958,,,Anti-LGBT,"Marietta, Ga."
Glenn Spencer,1938,,American Border Patrol/American Patrol,Anti-Immigrant,"Cochise County, AZ"
Gordon Baum,1940,2015,Council of Conservative Citizens,White Nationalist,"St. Louis, MO"
Greg Johnson,,,,Alt-Right White Nationalist,
Hal Turner,1962,,,White Nationalist,"North Bergen, N.J."
Harry Cooper,1944,,,Neo-Nazi,
Henry Harpending,1944,2016,,White Nationalist,
J.T. Ready,1973,2012,,Neo-Nazi,"Mesa, AZ"
James Edwards,1980,,,White Nationalist,"Bartlett, Tenn."
James Orien Allsup,1995,,,Alt-Right White Nationalist,"Pullman, Washington"
James Timothy Turner,1957,,,Sovereign Citizens Movement,"Ozark, Ala."
James Wickstrom,1942,2018,,Christian Identity,
Jamie Kelso,1948,,American Freedom Party,White Nationalist,"Grand Forks, N.D."
Jared Taylor,1951,,American Renaissance,White Nationalist,
Jason Kessler,1983,,,White Nationalist,"Charlottesville, Virginia"
Jean-Philippe Rushton,1943,2012,Pioneer Fund,White Nationalist,"London, Ontario, Canada"
Jeff Berry,1953,2013,,Ku Klux Klan,"Garrett, IN"
Jeff Schoep,1973,,National Socialist Movement,Neo-Nazi,"Litchfield, MN"
John de Nugent,1954,,,White Nationalist,
John Tanton,1934,,Federation for American Immigration Reform The Social Contract Press,Anti-Immigrant,"Petoskey, Mich."
John Weaver,1945,,,Neo-Confederate,"Fitzgerald, GA."
Johnny Monoxide AKA John Ramondetta,1972,,,Neo-Nazi,"Berkeley, California"
Joseph Francis Farah,1955,,WorldNetDaily,Antigovernment Movement,"Centreville, Va."
Kevin DeAnna,1983,,,White Nationalist,"Arlington, VA."
Kevin Lamb,1963,,The Social Contract Press,White Nationalist,"Mount Airy, Maryland"
Kevin MacDonald,1944,,Occidental Quarterly,White Nationalist,"Laguna Hills, Calif."
Kevin Strom,1956,,National Alliance National Vanguard,Neo-Nazi,"Charlottesville, VA."
Kirk Lyons,1956,,,Neo-Confederate,"Black Mountain, NC"
Kyle Bristow,1986,,,White Nationalist,"Clarkston, Mich."
Kyle Rogers,1977,,,White Nationalist,"Summerville, S.C."
Larry Klayman,1951,,,Antigovernment Movement,"Washington, D.C. and Ocala, Fla."
Larry Pratt,1942,,,Antigovernment Movement,"Springfield, Va."
"Lieutenant General William G. ""Jerry"" Boykin (Ret.)",1949,,,Anti-Muslim,"Washington, D.C."
Linda Gottfredson,1947,,Pioneer Fund,White Nationalist,
Lou Engle,1953,,,Anti-LGBT,"Kansas City, Mo."
Louis Beam,1946,,,Christian Identity,"New Braunfels, Texas"
Louis Farrakhan,1933,,Nation of Islam,Black Nationalist,"Chicago, Ill."
Malik Zulu Shabazz,1966,,New Black Panther Party,Black Nationalist,"Washington, D.C."
Mark Weber,1952,,Institute for Historical Review,Holocaust Denial,"Newport Beach, CA"
Matt Hale,1971,,Creativity Movement,Neo-Nazi,Imprisoned
Matthew Heimbach,1991,,,White Nationalist,"Bloomington, Ind"
"Michael ""Enoch"" Peinovich",1977,,,White Nationalist,"New York, New York"
Michael Boldin,1973,,,Antigovernment Movement,"Los Angeles, Calif."
Michael Brian Vanderboegh,1953,2016,,Antigovernment Movement,"Pinson, Ala."
Michael Hill,1951,,League of the South,Neo-Confederate,"Killen, AL"
Michael Levin,1943,,,White Nationalist,"New York City, NY"
Mike Cernovich,1977,,,Male Supremacy,"Orange County, California"
Morris Gulett,1956,,,Neo-Nazi,"Mansfield, LA."
Nathan Benjamin Damigo,1986,,,White Nationalist,"Oakdale, California"
Pamela Geller,1958,,,Anti-Muslim,"New York, New York"
Paul Cameron,1939,,,Anti-LGBT,"Colorado Springs, CO"
Paul Fromm,1949,,,Neo-Nazi,"Toronto, Ontario"
Paul Mullet,1973,,,Neo-Nazi,"Chillicothe, Ohio"
Paul Ray Ramsey,1963,,,White Nationalist,"Tulsa, Oklahoma"
Peter Brimelow,1947,,VDARE,White Nationalist,"Washington, Conn."
Ray Redfeairn,1952,2003,Aryan Nations,Neo-Nazi,"New Vienna, Ohio"
