name,time
Alex Jones,20150906
Alex Linder,20150906
Anthony Pierpont,20150906
April Gaede,20150906
Arthur Jensen,20150906
August Kreis,20150906
Barbara Coe,20150906
Barry Black,20150906
Bill White,20150906
Billy Roper,20150906
Bo Gritz,20150906
Boyd Cathey,20150906
Brien James,20150906
Bryan Fischer,20150906
Charles Murray,20150906
Chuck Baldwin,20150906
Cliff Kincaid,20150906
Craig Cobb,20150906
Dan Stein,20150906
David Barton,20150906
David Duke,20150906
David Irving,20150906
David Lane,20150906
David Lane,20150906
David Yerushalmi,20150906
Don Black,20150906
Edgar Steele,20150906
Elmer Stewart Rhodes,20150906
"Eric ""The Butcher"" Fairburn",20150906
Erich Gliebe,20150906
Ernst Zundel,20150906
Frank Gaffney Jr.,20150906
Frazier Glenn Miller,20150906
Fred Phelps,20150906
Garrett Hardin,20150906
"Gary ""Gerhard"" Lauck",20150906
Gary Demar,20150906
Glenn Spencer,20150906
Gordon Baum,20150906
Hal Turner,20150906
Harry Cooper,20150906
Henry Harpending,20150906
J.T. Ready,20150906
James Edwards,20150906
James Timothy Turner,20150906
James Wickstrom,20150906
Jamie Kelso,20150906
Jared Taylor,20150906
Jean-Philippe Rushton,20150906
Jeff Berry,20150906
Jeff Schoep,20150906
John de Nugent,20150906
John Tanton,20150906
John Weaver,20150906
Joseph Francis Farah,20150906
Kevin DeAnna,20150906
Kevin Lamb,20150906
Kevin MacDonald,20150906
Kevin Strom,20150906
Kirk Lyons,20150906
Kyle Bristow,20150906
Larry Klayman,20150906
Larry Pratt,20150906
Lieutenant General William G. “Jerry” Boykin (Ret.),20150906
Lou Engle,20150906
Louis Beam,20150906
Louis Farrakhan,20150906
Malik Zulu Shabazz,20150906
Mark Weber,20150906
Matt Hale,20150906
Matthew Heimbach,20150906
Michael Boldin,20150906
Michael Brian Vanderboegh,20150906
Michael Hill,20150906
Morris Gulett,20150906
Pamela Geller,20150906
Paul Cameron,20150906
Paul Fromm,20150906
Paul Mullet,20150906
Paul Ray Ramsey,20150906
Peter Brimelow,20150906
Ray Redfeairn,20150906
Raymond Cattell,20150906
Richard Bertrand Spencer,20150906
Richard Butler,20150906
Richard Lynn,20150906
Roan Garcia-Quintana,20150906
Robert Spencer,20150906
Ron Edwards,20150906
Ronald Doggett,20150906
Sam Francis,20150906
Scott Lively,20150906
Shaun Walker,20150906
Thomas Robb,20150906
Tim Wildmon,20150906
Tom DeWeese,20150906
Tom Metzger,20150906
Tomislav Sunić,20150906
Tony Perkins,20150906
Vincent Bertollini,20150906
Virginia Abernethy,20150906
Wayne Lutton,20150906
William Daniel Johnson,20150906
William Pierce,20150906
William Shockley,20150906
Willis Carto,20150906
Alex Jones,20151008
Alex Linder,20151008
Anthony Pierpont,20151008
April Gaede,20151008
Arthur Jensen,20151008
August Kreis,20151008
Barbara Coe,20151008
Barry Black,20151008
Bill White,20151008
Billy Roper,20151008
Bo Gritz,20151008
Boyd Cathey,20151008
Brien James,20151008
Bryan Fischer,20151008
Charles Murray,20151008
Chuck Baldwin,20151008
Cliff Kincaid,20151008
Craig Cobb,20151008
Dan Stein,20151008
David Barton,20151008
David Duke,20151008
David Irving,20151008
David Lane,20151008
David Lane,20151008
David Yerushalmi,20151008
Don Black,20151008
Edgar Steele,20151008
Elmer Stewart Rhodes,20151008
"Eric ""The Butcher"" Fairburn",20151008
Erich Gliebe,20151008
Ernst Zundel,20151008
Frank Gaffney Jr.,20151008
Frazier Glenn Miller,20151008
Fred Phelps,20151008
Garrett Hardin,20151008
"Gary ""Gerhard"" Lauck",20151008
Gary Demar,20151008
Glenn Spencer,20151008
Gordon Baum,20151008
Hal Turner,20151008
Harry Cooper,20151008
Henry Harpending,20151008
J.T. Ready,20151008
James Edwards,20151008
James Timothy Turner,20151008
James Wickstrom,20151008
Jamie Kelso,20151008
Jared Taylor,20151008
Jean-Philippe Rushton,20151008
Jeff Berry,20151008
Jeff Schoep,20151008
John de Nugent,20151008
John Tanton,20151008
John Weaver,20151008
Joseph Francis Farah,20151008
Kevin DeAnna,20151008
Kevin Lamb,20151008
Kevin MacDonald,20151008
Kevin Strom,20151008
Kirk Lyons,20151008
Kyle Bristow,20151008
Larry Klayman,20151008
Larry Pratt,20151008
Lieutenant General William G. “Jerry” Boykin (Ret.),20151008
Lou Engle,20151008
Louis Beam,20151008
Louis Farrakhan,20151008
Malik Zulu Shabazz,20151008
Mark Weber,20151008
Matt Hale,20151008
Matthew Heimbach,20151008
Michael Boldin,20151008
Michael Brian Vanderboegh,20151008
Michael Hill,20151008
Morris Gulett,20151008
Pamela Geller,20151008
Paul Cameron,20151008
Paul Fromm,20151008
Paul Mullet,20151008
Paul Ray Ramsey,20151008
Peter Brimelow,20151008
Ray Redfeairn,20151008
Raymond Cattell,20151008
Richard Bertrand Spencer,20151008
Richard Butler,20151008
Richard Lynn,20151008
Roan Garcia-Quintana,20151008
Robert Spencer,20151008
Ron Edwards,20151008
Ronald Doggett,20151008
Sam Francis,20151008
Scott Lively,20151008
Shaun Walker,20151008
Thomas Robb,20151008
Tim Wildmon,20151008
Tom DeWeese,20151008
Tom Metzger,20151008
Tomislav Sunić,20151008
Tony Perkins,20151008
