Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1977,II,Crocodylus spp.,Reptilia,Crocodylia,Crocodylidae,Crocodylus,US,PG,,,1,teeth,,,
1978,II,Crocodylus spp.,Reptilia,Crocodylia,Crocodylidae,Crocodylus,AU,PG,,,15,teeth,,P,
1978,II,Dugong dugon,Mammalia,Sirenia,Dugongidae,Dugong,US,AU,,,100,teeth,,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,DE,BW,,1,teeth,,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,CH,XX,,17,teeth,,,
1978,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,BW,,,6,teeth,,,
1979,II,Canis lupus,Mammalia,Carnivora,Canidae,Canis,US,CA,,,15,teeth,,,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,CH,XX,,2,teeth,,,
1979,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,BW,,,10,teeth,kg,,
1979,II,Lynx canadensis,Mammalia,Carnivora,Felidae,Lynx,US,CA,,,6,teeth,,,
1979,II,Puma concolor,Mammalia,Carnivora,Felidae,Puma,US,CA,,,2,teeth,,,
1979,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,AU,,50,,teeth,kg,T,
1980,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,US,PE,,6,,teeth,,P,
1980,I,Panthera onca,Mammalia,Carnivora,Felidae,Panthera,US,XX,,6,,teeth,,P,
1980,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,US,LK,,5,,teeth,,P,
1980,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,US,MY,,1,,teeth,,P,
1980,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,AU,,5,,teeth,,P,
1980,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,JP,,3,,teeth,,P,
1980,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,NZ,,2,,teeth,,P,
1980,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,XX,,6,,teeth,,P,
1980,II,Dugong dugon,Mammalia,Sirenia,Dugongidae,Dugong,JP,AU,,,2,teeth,,,
1980,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,US,,2,,teeth,,,
1980,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DK,TZ,,2,,teeth,,H,
1980,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,IT,ZA,,,4,teeth,,,
1980,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,TZ,,1,,teeth,,P,
1980,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,ZW,,2,,teeth,,P,
1980,II,Felis spp.,Mammalia,Carnivora,Felidae,Felis,US,XX,,1,,teeth,,P,
1980,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,CA,ZA,,,1,teeth,,,
1980,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,US,CF,,14,,teeth,,P,
1980,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,US,MW,,63,,teeth,,P,
1980,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,CA,DK,GL,,10,teeth,,,
1980,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,CH,AU,,2,2,teeth,,,
1980,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,CH,GB,,12,,teeth,,,
1980,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,AU,,15,,teeth,,P,
1980,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,AU,,450,,teeth,,S,
1980,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,AU,,,450,teeth,,,
1980,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,CA,,1,,teeth,,P,
1980,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,CH,GB,,1,teeth,,,
1980,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,HK,,194,,teeth,,T,
1980,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,IS,,200,,teeth,,S,
1980,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,MT,AU,2,,teeth,,T,
1980,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,PF,,1,,teeth,,P,
1980,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,SE,DK,GL,,1,teeth,,,
1980,II,Tapirus spp.,Mammalia,Perissodactyla,Tapiridae,Tapirus,US,XX,,18,,teeth,,P,
1980,II,Cetacea spp.,Mammalia,Cetacea,,,US,AU,,3,,teeth,,P,
1980,II,Cetacea spp.,Mammalia,Cetacea,,,US,FJ,,1,,teeth,,P,
1980,II,Cetacea spp.,Mammalia,Cetacea,,,US,HK,XX,3,,teeth,,P,
1980,II,Cetacea spp.,Mammalia,Cetacea,,,US,OM,,7,,teeth,,P,
1980,II,Primates spp.,Mammalia,Primates,,,US,PE,,1,,teeth,,P,
1981,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,US,TH,,2,,teeth,,P,
1981,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,US,XX,,10,,teeth,,P,
1981,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,CA,IS,,2,,teeth,,S,
1981,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,AU,,50,,teeth,kg,T,
1981,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,AU,,,500,teeth,kg,,
1981,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,CA,,,238,teeth,,,
1981,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,IS,,150,,teeth,,S,
1981,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,AU,,5,,teeth,,P,
1981,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,JP,XX,4,,teeth,,P,
1981,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,NO,XX,11,,teeth,,P,
1981,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,XX,,2,,teeth,,P,
1981,II,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,AU,GB,,1,,teeth,,,
1981,II,Crocodylus novaeguineae,Reptilia,Crocodylia,Crocodylidae,Crocodylus,US,PG,,3,,teeth,,T,
1981,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,SD,,4,,teeth,,H,
1981,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,IT,TZ,,1,,teeth,,,
1981,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,ZW,,2,,teeth,,P,
1981,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,US,ZA,,,3,teeth,,,
1981,II,Hexaprotodon liberiensis,Mammalia,Artiodactyla,Hippopotamidae,Hexaprotodon,DE,CM,,,10,teeth,,H,
1981,II,Hexaprotodon liberiensis,Mammalia,Artiodactyla,Hippopotamidae,Hexaprotodon,JP,HK,,100,,teeth,kg,T,
1981,II,Monodon monoceros,Mammalia,Cetacea,Monodontidae,Monodon,CA,DK,GL,,126,teeth,,T,
1981,II,Monodon monoceros,Mammalia,Cetacea,Monodontidae,Monodon,CH,DK,GL,,4,teeth,,T,
1981,II,Monodon monoceros,Mammalia,Cetacea,Monodontidae,Monodon,US,DK,GL,,1,teeth,,T,
1981,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,AU,,,63,teeth,kg,,
1981,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,AU,,450,,teeth,,S,
1981,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,CA,,1,,teeth,,P,
1981,II,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,DK,GL,,3,teeth,,T,
1981,II,Cetacea spp.,Mammalia,Cetacea,,,US,JP,XX,2,,teeth,,P,
1982,I,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,US,ZA,,,15,teeth,,P,
1982,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,US,ID,,2,,teeth,,,I
1982,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,US,XX,,4,,teeth,,,I
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,CA,FR,,6,,teeth,,,
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,FR,CA,,,6,teeth,,,
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,AU,XX,1,10,teeth,,P,
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,US,,1,,teeth,,P,
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,HK,CA,,,8,teeth,pieces,,
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,HK,CA,,,109,teeth,,,
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,NZ,GB,XX,,1,teeth,,T,
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,AU,XX,3,,teeth,,,I
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,AU,,1,,teeth,,,I
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,FJ,,1,,teeth,,,I
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,HK,JP,3,,teeth,,,I
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,HK,XX,2,,teeth,,,I
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,XX,,2,,teeth,,P,
1982,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,XX,,4,,teeth,,,I
1982,I,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,US,TH,,3,,teeth,,,I
1982,I,Cetacea spp.,Mammalia,Cetacea,,,US,AU,,16,,teeth,,,I
1982,II,Alligator mississippiensis,Reptilia,Crocodylia,Alligatoridae,Alligator,GB,US,,3,,teeth,,P,
1982,II,Papio ursinus,Mammalia,Primates,Cercopithecidae,Papio,US,ZA,,,2,teeth,,P,
1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,BE,TZ,,,1,teeth,,H,
1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,ZW,,2,,teeth,,H,
1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,MW,,,1,teeth,sets,P,
1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,US,XX,1,,teeth,,P,
1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZA,,2,,teeth,,P,
1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZM,ZA,4,,teeth,,P,
1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,GB,ZM,,54,,teeth,,P,
1982,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,NG,,1,,teeth,,P,
1982,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,US,ZA,,,3,teeth,,H,
1982,II,Monodon monoceros,Mammalia,Cetacea,Monodontidae,Monodon,US,FR,,,2,teeth,,T,
1982,II,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,DE,US,,4,,teeth,,P,
1982,II,Cetacea spp.,Mammalia,Cetacea,,,CA,XX,,3,,teeth,,,I
1982,II,Cetacea spp.,Mammalia,Cetacea,,,US,AU,XX,3,,teeth,,,I
1982,III,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,BW,MW,,,280,teeth,kg,,
1982,III,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,DK,MW,,,3,teeth,,,
1982,III,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,GB,MW,,,6,teeth,,P,
1982,III,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,GR,MW,,,4,teeth,,P,
1982,III,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,SA,MW,,,8,teeth,,P,
1982,III,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,US,MW,,,5,teeth,,P,
1982,III,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,ZA,MW,,,1,teeth,,P,
1983,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,US,TH,,1,,teeth,,,I
1983,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,US,TH,,2,,teeth,,,
1983,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,CA,DK,GL,,1,teeth,,T,
1983,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,CA,XX,,1,,teeth,,,I
1983,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,JP,,,1,teeth,,S,
1983,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,US,,3,,teeth,,P,
1983,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,GB,XX,,2,,teeth,,,I
1983,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,AU,,2,,teeth,,,I
1983,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,AU,,2,,teeth,,,
1983,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,GB,XX,,1,teeth,,T,
1983,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,ID,XX,1,,teeth,,,
1983,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,US,XX,,1,,teeth,,,I
1983,II,Crocodylidae spp.,Reptilia,Crocodylia,Crocodylidae,,US,XX,,1,,teeth,,,
1983,II,Crocodylus niloticus,Reptilia,Crocodylia,Crocodylidae,Crocodylus,ZA,ZW,,,600,teeth,,,
1983,II,Orcinus orca,Mammalia,Cetacea,Delphinidae,Orcinus,CA,XX,,1,,teeth,,,I
1983,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CA,ZW,,,6,teeth,,,
1983,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,CH,ZW,,,4,teeth,,,
1983,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,ZA,,,3,teeth,,,
1983,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,ZW,,4,,teeth,,T,
1983,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,DE,ZW,,,9,teeth,,,
1983,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,FR,ZW,,,6,teeth,,,
1983,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,SE,ZW,,,6,teeth,,,
1983,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,GA,,2,,teeth,,,
1983,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,ZW,,1,,teeth,,P,
1983,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,US,ZW,,,13,teeth,,,
1983,II,Loxodonta africana,Mammalia,Proboscidea,Elephantidae,Loxodonta,XX,ZW,,,1,teeth,,,
1983,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,GB,XX,,1,,teeth,,,I
1983,II,Panthera leo,Mammalia,Carnivora,Felidae,Panthera,GB,ZA,,1,,teeth,,P,
1983,II,Monodon monoceros,Mammalia,Cetacea,Monodontidae,Monodon,AT,DK,GL,,2,teeth,,T,
1983,II,Monodon monoceros,Mammalia,Cetacea,Monodontidae,Monodon,CA,DK,GL,,3,teeth,,T,
1983,II,Monodon monoceros,Mammalia,Cetacea,Monodontidae,Monodon,CH,DK,GL,,2,teeth,,T,
1983,II,Monodon monoceros,Mammalia,Cetacea,Monodontidae,Monodon,IT,DK,GL,,5,teeth,,T,
1983,II,Ursus arctos,Mammalia,Carnivora,Ursidae,Ursus,US,CA,,30,30,teeth,,,
1983,III,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,GB,MW,,,1,teeth,,P,
1983,III,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,US,MW,,,2,teeth,,P,
1983,III,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,US,ZA,ZW,1,,teeth,,T,
1983,III,Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,ZA,MW,,,2,teeth,,P,
1983,III,Odobenus rosmarus,Mammalia,Carnivora,Odobenidae,Odobenus,US,ID,US,8,,teeth,,,
1983,III,Odobenus rosmarus,Mammalia,Carnivora,Odobenidae,Odobenus,US,ZA,XX,3,,teeth,,,
1984,I,Panthera pardus,Mammalia,Carnivora,Felidae,Panthera,US,CH,CD,,1,teeth,,,
1984,I,Panthera tigris,Mammalia,Carnivora,Felidae,Panthera,US,CM,XX,1,,teeth,,,
1984,I,Physeter macrocephalus,Mammalia,Cetacea,Physeteridae,Physeter,CA,US,,1,,teeth,,,
